feature,slope_abs,trend
Openness,4.710776571409729e-05,diverging
Conscientiousness,-0.0010406973297140425,converging
Extraversion,9.33198897313862e-05,diverging
Agreeableness,0.0005025140750600326,diverging
Neuroticism,-0.0002843892066879526,converging
polarity,0.001551617062625027,diverging
subjectivity,0.002515001014150465,diverging
vader_compound,-0.00791247141219896,converging
vader_pos,0.0019069743111331757,diverging
vader_neu,0.0005723457351974657,diverging
vader_neg,-0.0008615486842091501,converging
word_diversity,0.0011235373206928587,diverging
flesch_reading_ease,0.3074246780004513,diverging
gunning_fog,-0.033809189216521846,converging
average_word_length,-0.0009463756859995371,converging
num_words,-0.23489277636610498,converging
avg_sentence_length,-0.28783406371717996,converging
verb_ratio,-0.0005347709612856946,converging
function_word_ratio,-0.0027021689374040862,converging
content_word_ratio,-0.002702168937404107,converging
