feature,slope_abs,trend
Openness,0.001262508744822081,diverging
Conscientiousness,-0.0019226038705264837,converging
Extraversion,0.00014447269818795145,diverging
Agreeableness,-0.0002562144248392512,converging
Neuroticism,-0.0004863231991372234,converging
polarity,0.002219387787949349,diverging
subjectivity,-0.0028511159159813754,converging
vader_compound,0.0005139996226493462,diverging
vader_pos,-0.001254647101207494,converging
vader_neu,-0.0035420034477004307,converging
vader_neg,0.0025045721325879762,diverging
word_diversity,0.0021542740070233666,diverging
flesch_reading_ease,-0.3053736600046202,converging
gunning_fog,-0.048244370415749645,converging
average_word_length,-0.013630578616855028,converging
num_words,16.164626529140918,diverging
avg_sentence_length,-0.031625596825014604,converging
verb_ratio,0.0009224559219764125,diverging
function_word_ratio,-0.002570685761002338,converging
content_word_ratio,-0.0025706857610023177,converging
