feature,slope_abs,trend
Openness,0.000262764649310575,diverging
Conscientiousness,-0.002073125152047536,converging
Extraversion,-0.00022073583479984989,converging
Agreeableness,-0.001130511365080616,converging
Neuroticism,0.00013339933733153464,diverging
polarity,-0.00033337231248304814,converging
subjectivity,0.004133023030166032,diverging
vader_compound,-0.006983767556418235,converging
vader_pos,0.0002660643077409185,diverging
vader_neu,-0.0016956342265732794,converging
vader_neg,0.0023315596271924434,diverging
word_diversity,-0.00374444964392532,converging
flesch_reading_ease,0.09536434162734608,diverging
gunning_fog,-0.02115903002784349,converging
average_word_length,0.004222907355934523,diverging
num_words,13.14471123888583,diverging
avg_sentence_length,0.06926132015666038,diverging
verb_ratio,0.0014395536334119783,diverging
function_word_ratio,7.0822946692357e-05,diverging
content_word_ratio,7.082294669238484e-05,diverging
