feature,slope_abs,trend
Openness,-0.0002941957843084457,converging
Conscientiousness,-0.0016991519128951448,converging
Extraversion,0.00035007076369018386,diverging
Agreeableness,-0.00017112058361730336,converging
Neuroticism,0.0003341282687189297,diverging
polarity,0.0016931882850089836,diverging
subjectivity,-0.00021917386410080008,converging
vader_compound,-0.004513689782458215,converging
vader_pos,-0.00124601719939177,converging
vader_neu,-0.004193592240632187,converging
vader_neg,0.002972430789119769,diverging
word_diversity,0.0017705696779208382,diverging
flesch_reading_ease,0.06073587494568106,diverging
gunning_fog,0.04178674977300113,diverging
average_word_length,0.00267944921590795,diverging
num_words,11.45490545220671,diverging
avg_sentence_length,-0.019129570588125536,converging
verb_ratio,-0.001157074831535969,converging
function_word_ratio,-0.0023908423646691853,converging
content_word_ratio,-0.0023908423646691493,converging
