feature,slope_abs,trend
Openness,0.0024460002700176188,diverging
Conscientiousness,-0.0037466191013549705,converging
Extraversion,-0.0008460019503263145,converging
Agreeableness,-0.003909712212417776,converging
Neuroticism,-0.0028306414984032506,converging
polarity,-0.009039774503596925,converging
subjectivity,0.0024019887996215477,diverging
vader_compound,0.03217676999999769,diverging
vader_pos,0.0036259466495310697,diverging
vader_neu,-0.0019299295601147252,converging
vader_neg,-0.005270521895316047,converging
word_diversity,-0.0008693383126770083,converging
flesch_reading_ease,-0.050981319868353955,converging
gunning_fog,0.06917501961356386,diverging
average_word_length,-0.02994120936657288,converging
num_words,1.074442396658106,diverging
avg_sentence_length,-0.3453581227226448,converging
verb_ratio,-0.0015382463731031099,converging
function_word_ratio,-0.006980517790297278,converging
content_word_ratio,-0.006980517790297278,converging
