author,label,provider,level,mean_yearly_distance,std_yearly_distance,path_length,net_displacement,tortuosity,n_years
DS_LV1_News_10years_01,llm,DS,1,1.2778905630111694,0.10905647277832031,61.3387451171875,1.3939861059188843,44.00240781220296,49
DS_LV1_News_10years_02,llm,DS,1,1.2245467901229858,0.10991828888654709,58.77824401855469,1.330828309059143,44.16666193410719,49
DS_LV1_News_10years_03,llm,DS,1,1.2601840496063232,0.10627228021621704,59.22865295410156,1.2257074117660522,48.32201582983198,48
DS_LV1_News_10years_04,llm,DS,1,1.0521405935287476,0.1407613754272461,44.189903259277344,1.2049280405044556,36.67430898261508,43
DS_LV1_News_10years_05,llm,DS,1,1.205790400505066,0.10647696256637573,56.672149658203125,1.3983683586120605,40.52733981656494,48
DS_LV1_News_10years_06,llm,DS,1,1.166375756263733,0.10650359094142914,57.15241241455078,1.060992956161499,53.86691031514381,50
DS_LV1_News_11years_01,llm,DS,1,1.1752824783325195,0.13695788383483887,50.537147521972656,1.269126057624817,39.820431720197654,44
DS_LV1_News_11years_02,llm,DS,1,1.1940913200378418,0.09433306008577347,48.95774459838867,1.1131831407546997,43.979955144844375,42
DS_LV1_News_11years_03,llm,DS,1,1.1863263845443726,0.1625576615333557,52.198360443115234,1.314354658126831,39.71406052420157,45
DS_LV1_News_11years_04,llm,DS,1,1.1956208944320679,0.12369854748249054,64.56352996826172,1.048874020576477,61.555085455140386,55
DS_LV1_News_11years_05,llm,DS,1,1.141359806060791,0.14756807684898376,58.2093505859375,1.1204907894134521,51.94986976770116,52
DS_LV1_News_11years_06,llm,DS,1,1.2585976123809814,0.09802847355604172,67.96427154541016,1.4554132223129272,46.697577363906355,55
DS_LV1_News_11years_07,llm,DS,1,1.2671595811843872,0.12993089854717255,63.35797882080078,1.2712411880493164,49.83946352306426,51
DS_LV1_News_11years_08,llm,DS,1,1.2640630006790161,0.1018267273902893,66.9953384399414,1.3147770166397095,50.955665935785255,54
DS_LV1_News_11years_09,llm,DS,1,1.2696642875671387,0.16491243243217468,68.56187438964844,1.3531323671340942,50.66900774449808,55
DS_LV1_News_5years_01,llm,DS,1,1.1178079843521118,0.17408867180347443,19.002735137939453,1.2657381296157837,15.013164803455638,18
DS_LV1_News_5years_02,llm,DS,1,1.210544228553772,0.11698608845472336,29.05306053161621,1.2445783615112305,23.343697295474833,25
DS_LV1_News_5years_03,llm,DS,1,1.2482719421386719,0.12269261479377747,29.958526611328125,1.2664064168930054,23.656328814906207,25
DS_LV1_News_5years_04,llm,DS,1,1.1325526237487793,0.12479224801063538,19.253395080566406,1.1948955059051514,16.11303665083389,18
DS_LV1_News_5years_05,llm,DS,1,1.1548699140548706,0.1278533786535263,36.95583724975586,1.1051151752471924,33.44071104759698,33
DS_LV1_News_5years_06,llm,DS,1,1.1525139808654785,0.10685055702924728,24.20279312133789,1.3160245418548584,18.390837215866423,22
DS_LV1_News_5years_07,llm,DS,1,1.1292973756790161,0.16042351722717285,24.844541549682617,1.1356592178344727,21.876757709990972,23
DS_LV1_News_5years_08,llm,DS,1,1.288480281829834,0.11202927678823471,23.192644119262695,1.2697839736938477,18.26503137521452,19
DS_LV1_News_5years_09,llm,DS,1,1.2441143989562988,0.13522659242153168,19.90583038330078,1.425516128540039,13.963946099780433,17
DS_LV1_News_5years_10,llm,DS,1,1.0910091400146484,0.12526486814022064,26.184219360351562,1.2744301557540894,20.54582531818558,25
DS_LV1_News_5years_11,llm,DS,1,1.026286005973816,0.16591359674930573,27.709720611572266,0.950064480304718,29.1661473363206,28
DS_LV1_News_5years_12,llm,DS,1,1.052418828010559,0.17456603050231934,19.99595832824707,1.2929892539978027,15.464906816836585,20
DS_LV1_News_5years_13,llm,DS,1,1.2490975856781006,0.08021693676710129,24.981952667236328,1.3562908172607422,18.419318592521027,21
DS_LV1_News_5years_14,llm,DS,1,1.358594298362732,0.06377021968364716,24.454696655273438,1.3000528812408447,18.810539946600077,19
DS_LV1_News_5years_15,llm,DS,1,1.1100897789001465,0.1787203550338745,23.311885833740234,1.1572821140289307,20.14364998054179,22
DS_LV1_News_5years_16,llm,DS,1,1.23987877368927,0.1221836656332016,22.31781768798828,1.2302879095077515,18.140321070795395,19
DS_LV1_News_5years_17,llm,DS,1,1.2033262252807617,0.0964861810207367,22.86319923400879,1.3983311653137207,16.350346613979205,20
DS_LV1_News_5years_18,llm,DS,1,1.0444843769073486,0.10906627029180527,22.978656768798828,1.2067526578903198,19.04172874080989,23
DS_LV1_News_5years_19,llm,DS,1,1.079973578453064,0.13600341975688934,24.839393615722656,1.0637803077697754,23.350116028937084,24
DS_LV1_News_5years_20,llm,DS,1,1.1371723413467407,0.16120564937591553,23.880619049072266,1.2461209297180176,19.16396593585517,22
DS_LV1_News_5years_21,llm,DS,1,1.1536294221878052,0.10276695340871811,23.072587966918945,1.330859661102295,17.336604783564404,21
DS_LV1_News_5years_22,llm,DS,1,1.2429754734039307,0.0904105007648468,29.831411361694336,1.2596957683563232,23.68144127420462,25
DS_LV1_News_5years_23,llm,DS,1,1.286904215812683,0.11009383946657181,30.885700225830078,1.3094658851623535,23.58648711340863,25
DS_LV1_News_5years_24,llm,DS,1,1.0788487195968628,0.09862121939659119,25.89236831665039,1.2262344360351562,21.115349198942294,25
DS_LV1_News_5years_25,llm,DS,1,1.2435436248779297,0.10694756358861923,39.79339599609375,1.3887474536895752,28.654163066417915,33
DS_LV1_News_5years_26,llm,DS,1,1.0209583044052124,0.13979338109493256,24.50299835205078,1.1455607414245605,21.389523458686362,25
DS_LV1_News_5years_27,llm,DS,1,1.2189275026321411,0.11928518861532211,19.502840042114258,1.1012296676635742,17.710056870781997,17
DS_LV1_News_5years_28,llm,DS,1,1.2251471281051636,0.08460614830255508,34.30411911010742,1.2759119272232056,26.885961623357666,29
DS_LV1_News_5years_29,llm,DS,1,1.1308871507644653,0.12947919964790344,27.141292572021484,1.295419692993164,20.951736891778676,25
DS_LV1_News_5years_30,llm,DS,1,1.0440458059310913,0.1734250783920288,25.057100296020508,1.0000778436660767,25.055149911297313,25
DS_LV1_News_5years_31,llm,DS,1,1.188480019569397,0.13289529085159302,29.71200180053711,1.3634182214736938,21.792287452651138,26
DS_LV1_News_5years_32,llm,DS,1,1.0552600622177124,0.13377924263477325,9.497340202331543,1.3533835411071777,7.017478721931218,10
DS_LV1_News_5years_33,llm,DS,1,1.0818402767181396,0.26738545298576355,11.900242805480957,1.3944998979568481,8.533699301747243,12
DS_LV1_News_5years_34,llm,DS,1,1.2200405597686768,0.10185043513774872,26.840892791748047,1.1939518451690674,22.480716370891233,23
DS_LV1_News_5years_35,llm,DS,1,1.2701237201690674,0.08102409541606903,30.482969284057617,1.2566719055175781,24.25690361200744,25
DS_LV1_News_5years_36,llm,DS,1,1.1427373886108398,0.10228379815816879,27.425697326660156,1.0096250772476196,27.164239423832928,25
DS_LV1_News_6years_01,llm,DS,1,1.1784418821334839,0.12344677001237869,27.104162216186523,1.2026745080947876,22.536573307040058,24
DS_LV1_News_6years_02,llm,DS,1,1.2168893814086914,0.11254566162824631,29.205345153808594,1.3398340940475464,21.797732483117564,25
DS_LV1_News_6years_03,llm,DS,1,1.2647780179977417,0.09789129346609116,34.14900588989258,1.3352628946304321,25.57474339114634,28
DS_LV1_News_6years_04,llm,DS,1,1.2333991527557373,0.10302352160215378,35.76857376098633,1.1907398700714111,30.03894860666857,30
DS_LV1_News_6years_05,llm,DS,1,1.0914337635040283,0.1392386257648468,31.651580810546875,0.9759870171546936,32.43032976280883,30
DS_LV1_News_6years_06,llm,DS,1,1.2185111045837402,0.10216467827558517,31.681289672851562,1.0540492534637451,30.056745041792553,27
DS_LV1_News_6years_07,llm,DS,1,1.2020916938781738,0.12812168896198273,34.860660552978516,1.418732762336731,24.571689241574354,30
DS_LV1_News_6years_08,llm,DS,1,1.210946798324585,0.11082049459218979,35.11745834350586,1.2249315977096558,28.668913765607435,30
DS_LV1_News_6years_09,llm,DS,1,1.2612450122833252,0.08904445171356201,22.702409744262695,1.3559815883636475,16.742417403807963,19
DS_LV1_News_6years_10,llm,DS,1,1.2511321306228638,0.11561284959316254,36.282833099365234,1.2695192098617554,28.57997958401611,30
DS_LV1_News_6years_11,llm,DS,1,1.1597659587860107,0.11514098942279816,23.19532012939453,1.102630853652954,21.036342355693872,21
DS_LV1_News_6years_12,llm,DS,1,1.1720263957977295,0.11954212188720703,30.472686767578125,1.0962212085723877,27.797935790042597,27
DS_LV1_News_6years_13,llm,DS,1,1.2013152837753296,0.17676298320293427,27.630250930786133,1.2372990846633911,22.33110108402204,24
DS_LV1_News_6years_14,llm,DS,1,1.1609041690826416,0.16500526666641235,24.37898826599121,1.3444015979766846,18.13370967624661,22
DS_LV1_News_6years_15,llm,DS,1,1.1797257661819458,0.0961424857378006,34.2120475769043,1.0985881090164185,31.141833136656494,30
DS_LV1_News_6years_16,llm,DS,1,1.2586928606033325,0.08541153371334076,35.24340057373047,1.197050929069519,29.441855578463613,29
DS_LV1_News_6years_17,llm,DS,1,1.1434324979782104,0.15284311771392822,37.733272552490234,1.039677619934082,36.293243048631375,34
DS_LV1_News_6years_18,llm,DS,1,1.1625475883483887,0.20704713463783264,33.7138786315918,1.327386498451233,25.398690336935363,30
DS_LV1_News_6years_19,llm,DS,1,1.056384563446045,0.16002807021141052,26.40961265563965,1.0735774040222168,24.599635346920103,26
DS_LV1_News_6years_20,llm,DS,1,1.262731671333313,0.13363467156887054,23.991901397705078,1.3249565362930298,18.1076893773661,20
DS_LV1_News_6years_21,llm,DS,1,1.2567903995513916,0.13452862203121185,32.676551818847656,1.2444478273391724,26.257872046524703,27
DS_LV1_News_6years_22,llm,DS,1,1.184428334236145,0.11498799175024033,26.057422637939453,1.167759656906128,22.314028819060425,23
