filename,path,label,num_words,avg_sentence_length,word_diversity,polarity,subjectivity,flesch_reading_ease,gunning_fog,function_word_ratio,content_word_ratio
TECHNOLOGY_2022_46_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_46_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_25_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_25_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_29_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_29_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_37_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_37_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_01_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_01_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_13_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_13_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_46_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_46_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_25_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_25_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_29_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_29_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_37_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_37_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_01_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_01_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_13_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_13_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_35_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_35_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_48_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_48_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_27_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_27_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_39_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_39_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_44_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_44_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_11_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_11_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_03_02.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_03_02.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_35_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_35_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_48_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_48_01.txt,human,0,0,0,0,0,0,0,0,0
TECHNOLOGY_2022_27_01.txt,Datasets/Human/Blogs/TECHNOLOGY/2022/TECHNOLOGY_2022_27_01.txt,human,0,0,0,0,0,0,0,0,0
